variant_name,node_id,canonical_name,full_graph_rank,stress_graph_rank,rank_delta,full_weighted_degree,stress_weighted_degree,degree_delta,full_betweenness,stress_betweenness,betweenness_delta
stress_context_graph,actor_nicaea,Nicaea,84,84,0,3,2,-1.0,0.000000,0.002923,0.002923
stress_context_graph,actor_young_t_pinnius,young T. Pinnius,83,85,-2,3,2,-1.0,0.000000,0.002923,0.002923
stress_context_graph,actor_meton,Meton,116,86,30,2,2,0.0,0.000000,0.000000,0.000000
stress_context_graph,actor_l_ligus,L. Ligus,122,87,35,2,2,0.0,0.000000,0.000295,0.000295
stress_context_graph,actor_pomponia,Pomponia,123,88,35,2,2,0.0,0.000000,0.000295,0.000295
stress_context_graph,actor_q_titinius,Q. Titinius,124,89,35,2,2,0.0,0.000000,0.000295,0.000295
stress_context_graph,actor_antony_creditors,Antony creditors,99,90,9,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_arpinum,Arpinum,89,91,-2,3,2,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_curius,Curius,76,92,-16,4,2,-2.0,0.000000,0.000000,0.000000
stress_context_graph,actor_tullia_s_creditors,Tullia's creditors,88,93,-5,3,2,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_castricius,Castricius,96,94,2,3,2,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_cluvian_coheirs,Cluvian coheirs,92,95,-3,3,2,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_xeno,Xeno,132,96,36,2,2,0.0,0.000000,0.000000,0.000000
stress_context_graph,actor_q_caecilius_dio,Q. Caecilius Dio,134,97,37,1,1,0.0,0.000000,0.000000,0.000000
stress_context_graph,actor_cities_in_asia,cities in Asia,91,98,-7,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_mylasa_and_alabanda,Mylasa and Alabanda,94,99,-5,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_fulvia,Fulvia,114,100,14,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_crassus,Crassus,58,101,-43,3,1,-2.0,0.010331,0.000000,-0.010331
stress_context_graph,actor_cocceius,Cocceius,112,102,10,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_ser_sulpicius_galba,Ser. Sulpicius Galba,138,103,35,1,1,0.0,0.000000,0.000000,0.000000
stress_context_graph,actor_q_axius_son,Q. Axius' son,118,104,14,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_provincial_governor,provincial governor,140,105,35,1,1,0.0,0.000000,0.000000,0.000000
stress_context_graph,actor_scribonius_libo,Scribonius Libo,119,106,13,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_funisulanus,Funisulanus,120,107,13,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_hortensius,Hortensius,121,108,13,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_aurelius,Aurelius,127,109,18,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_ofillius,Ofillius,128,110,18,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_amici,amici,72,111,-39,3,1,-2.0,0.010331,0.000000,-0.010331
stress_context_graph,actor_c_flavius,C. Flavius,110,112,-2,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_c_octavius,C. Octavius,111,113,-2,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_caelius,Caelius,67,114,-47,3,1,-2.0,0.010331,0.000000,-0.010331
stress_context_graph,actor_caepio,Caepio,125,115,10,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_l_mescinius,L. Mescinius,145,116,29,1,1,0.0,0.000000,0.000000,0.000000
stress_context_graph,actor_m_antonius,M. Antonius,126,117,9,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_p_magius_chilo,P. Magius Chilo,146,118,28,1,1,0.0,0.000000,0.000000,0.000000
stress_context_graph,actor_sardis,Sardis,107,119,-12,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_city_of_dyrrhachium,city of Dyrrhachium,108,120,-12,2,1,-1.0,0.000000,0.000000,0.000000
