variant_name,centrality_rank,node_id,canonical_name,weighted_degree,direct_edge_degree,context_edge_degree,component_size,pagerank,betweenness
refinancing_graph,20,actor_q_axius,Q. Axius,2,0,2,17,0.025859322158599943,0.0
refinancing_graph,21,actor_q_titinius,Q. Titinius,2,0,2,17,0.025859322158599943,0.0
refinancing_graph,22,actor_athens,Athens,1,1,0,17,0.016260303773637828,0.0
refinancing_graph,23,actor_tiro,Tiro,1,0,1,17,0.016257138055405143,0.0
repayment_pressure_graph,1,actor_cicero,Cicero,35,13,22,39,0.1355965847908644,0.36752386518605096
repayment_pressure_graph,2,actor_atticus,Atticus,12,1,11,39,0.04215319986552277,0.007597895967270602
repayment_pressure_graph,3,actor_egnatius,Egnatius,9,1,8,39,0.03343260578779573,0.03263198909020066
repayment_pressure_graph,4,actor_quintus_cicero,Quintus Cicero,9,2,7,39,0.03240436290177577,0.03000194817845314
repayment_pressure_graph,5,actor_cluvius,Cluvius,5,2,3,6,0.029748120801396282,0.003798947983635301
repayment_pressure_graph,6,actor_brutus,Brutus,5,1,4,39,0.022649584213074517,0.030683810637054353
repayment_pressure_graph,7,actor_salamis,Salamis,5,1,4,39,0.022649584213074517,0.030683810637054353
repayment_pressure_graph,8,actor_caecilius,Caecilius,5,2,3,6,0.022029330659279252,0.0007305669199298656
repayment_pressure_graph,9,actor_heraclides,Heraclides,3,2,1,4,0.019680851063828383,0.0002922267679719462
repayment_pressure_graph,10,actor_hermippus,Hermippus,3,0,3,4,0.019680851063828383,0.0002922267679719462
repayment_pressure_graph,11,actor_philocles,Philocles,3,1,2,6,0.018415961350655034,0.0002922267679719462
repayment_pressure_graph,12,actor_a_caninius_satyrus,A. Caninius Satyrus,4,1,3,6,0.018087239909672533,0.0005844535359438924
repayment_pressure_graph,13,actor_p_varius,P. Varius,4,1,3,6,0.018087239909672533,0.0005844535359438924
repayment_pressure_graph,14,actor_cornificius,Cornificius,4,1,3,39,0.01738335313468554,0.010520163646990063
repayment_pressure_graph,15,actor_iunius,Iunius,4,1,3,39,0.01738335313468554,0.010520163646990063
repayment_pressure_graph,16,actor_p_quinctius,P. Quinctius,2,1,1,3,0.016666666666666666,0.0
repayment_pressure_graph,17,actor_scapula_heirs,Scapula heirs,2,1,1,3,0.016666666666666666,0.0
