dyad_id,endpoint_a_actor_id,endpoint_b_actor_id,terminal_status,proposal_count,channels,valid_proposal_count,fully_authorizing_proposal_count,authorizing_proposal_id,authorizing_endpoint_a_occurrence_id,authorizing_endpoint_b_occurrence_id,authorizing_endpoint_a_authority,authorizing_endpoint_b_authority,authorizing_endpoint_a_reason,authorizing_endpoint_b_reason,edge_probability_p,selected_k,imputed_amount_hs,expected_contribution_hs
DYAD-428812a75c2af833,ACT-CAERELLIA,ACT-HERMOGENES,surviving_candidate,1,financial_shared_neighbor,1,1,be3a2260ed24f47af9be493bfee4677ab3e7b90a0e3797588a4c2eeffb98fabb,OCC-ATT-PILOT-0026-LENDER-01,OCC-ATT-PILOT-0012-THIRD_PARTY-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.526349561993,5,362500,190801.716222462506
DYAD-405577a5bb35ad9c,ACT-CAERELLIA,ACT-HORTENSIUS,surviving_candidate,1,financial_shared_neighbor,1,1,c88a9a91418274a38e8e4fee2c35e79747a85283ee433be632f8e1c18b558de3,OCC-ATT-PILOT-0026-LENDER-01,OCC-ATT-PILOT-0029-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622,5,362500,178393.153675475012
DYAD-2115f666859ad492,ACT-CAERELLIA,ACT-IUNIUS,surviving_candidate,1,financial_shared_neighbor,1,1,b4cc42b4c9f3cbe8f58b01c6be59b1ce026ee8a2f02b14ef6ce6999b7891fafa,OCC-ATT-PILOT-0026-LENDER-01,OCC-ATT-PILOT-0025-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.46689233105,5,362500,169248.470005624986
DYAD-148f0c06393270b3,ACT-CAERELLIA,ACT-OFILLIUS,surviving_candidate,2,financial_shared_neighbor,2,2,7a1a400ef5417f31d6db8b83e7cd47b7a9711c4af67466419b9f59fad40e77d2,OCC-ATT-PILOT-0026-LENDER-01,OCC-FAM-PILOT-0004-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622,5,362500,178393.153675475012
DYAD-d6dbfc2c3069a155,ACT-CAERELLIA,ACT-PATULCIUS,surviving_candidate,1,financial_shared_neighbor,1,1,ae7b76bf2ead68c767cb9c89417555c5f006d6443ae33408fab8d07dd8fdd072,OCC-ATT-PILOT-0026-LENDER-01,OCC-SEC-STAGED-0076-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622,5,362500,178393.153675475012
DYAD-182fcb32f9c45cc6,ACT-CAERELLIA,ACT-PUBLILIUS,surviving_candidate,2,financial_shared_neighbor,2,2,606f5b8eb452be588af18f35ff5139732dd7e19aef3467f385d77ab7f4c3fa30,OCC-ATT-PILOT-0026-LENDER-01,OCC-ATT-PILOT-0030-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.452071906538,5,362500,163876.066120025003
DYAD-fabf08efe3971b03,ACT-CAERELLIA,ACT-SCRIBONIUS-LIBO,surviving_candidate,1,financial_shared_neighbor,1,1,957cc2b41b6f3f67775a88d04eda14150cf5fb71cdfed53cc3d6881403e26f5f,OCC-ATT-PILOT-0026-LENDER-01,OCC-SEC-STAGED-0038-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.512142613665,5,362500,185651.69745356252
DYAD-41430607382d7105,ACT-CAERELLIA,ACT-SILIUS,surviving_candidate,2,financial_shared_neighbor,2,2,5837f191252094f65b8c6bf383420ee87408b9e19948306ad73adaa08ac8e0f0,OCC-ATT-PILOT-0026-LENDER-01,OCC-ATT-PILOT-0011-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.452071906538,5,362500,163876.066120025003
DYAD-1277ba84d11e402d,ACT-CAERELLIA,ACT-TERENTIA,surviving_candidate,1,financial_shared_neighbor,1,1,c6f5ebecc8447abc9cbc50c2ef7c283f343a84adc40f6905a2f0fe08407600b4,OCC-ATT-PILOT-0026-LENDER-01,OCC-ATT-PILOT-0036-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622,5,362500,178393.153675475012
DYAD-c961d2c3fc03a601,ACT-CICERO,ACT-CORNIFICIUS-PROCURATORS,surviving_candidate,3,financial_shared_neighbor;within_component,3,3,30975a38730a39371d5e7ab1ac95af8d4fff77e4af772afa1259046aa2e12989,OCC-ATT-PILOT-0025-THIRD_PARTY-01,OCC-ATT-PILOT-0025-THIRD_PARTY-03,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0,5,362500,0
