record_id,exposure_group_id,paper_action,paper_edited
VRB-STAGED-0044,EG-CLEAN-0104,regenerate_after_post_calculation_audit,no
VRB-STAGED-0045,EG-CLEAN-0053,regenerate_after_post_calculation_audit,no
VRB-STAGED-0047,EG-CLEAN-0091,regenerate_after_post_calculation_audit,no
VRB-STAGED-0048,EG-CLEAN-0093,regenerate_after_post_calculation_audit,no
VRB-STAGED-0053,EG-CLEAN-0027,regenerate_after_post_calculation_audit,no
VRB-STAGED-0055,EG-CLEAN-0082,regenerate_after_post_calculation_audit,no
VRB-STAGED-0056,EG-CLEAN-0100,regenerate_after_post_calculation_audit,no
VRB-STAGED-0057,EG-CLEAN-0038,regenerate_after_post_calculation_audit,no
VRB-STAGED-0058,EG-CLEAN-0085,regenerate_after_post_calculation_audit,no
VRB-STAGED-0061,EG-CLEAN-0073,regenerate_after_post_calculation_audit,no
VRB-STAGED-0062,EG-CLEAN-0077,regenerate_after_post_calculation_audit,no
VRB-STAGED-0064,EG-CLEAN-0001,regenerate_after_post_calculation_audit,no
VRB-STAGED-0065,EG-CLEAN-0071,regenerate_after_post_calculation_audit,no
VRB-STAGED-0066,EG-CLEAN-0072,regenerate_after_post_calculation_audit,no
VRB-STAGED-0067,EG-CLEAN-0106,regenerate_after_post_calculation_audit,no
VRB-STAGED-0068,EG-CLEAN-0097,regenerate_after_post_calculation_audit,no
VRB-STAGED-0069,EG-CLEAN-0102,regenerate_after_post_calculation_audit,no
VRB-STAGED-0070,EG-CLEAN-0051,regenerate_after_post_calculation_audit,no
VRB-STAGED-0071,EG-CLEAN-0101,regenerate_after_post_calculation_audit,no
VRB-STAGED-0072,EG-CLEAN-0007,regenerate_after_post_calculation_audit,no
VRB-STAGED-0073,EG-CLEAN-0092,regenerate_after_post_calculation_audit,no
VRB-STAGED-0074,EG-CLEAN-0068,regenerate_after_post_calculation_audit,no
VRB-STAGED-0075,EG-CLEAN-0017,regenerate_after_post_calculation_audit,no
VRB-STAGED-0076,EG-CLEAN-0016,regenerate_after_post_calculation_audit,no
VRB-STAGED-0077,EG-CLEAN-0006,regenerate_after_post_calculation_audit,no
VRB-STAGED-0078,EG-CLEAN-0054,regenerate_after_post_calculation_audit,no
VRB-STAGED-0079,EG-CLEAN-0115,regenerate_after_post_calculation_audit,no
VRB-STAGED-0080,EG-CLEAN-0117,regenerate_after_post_calculation_audit,no
VRB-STAGED-0081,EG-CLEAN-0114,regenerate_after_post_calculation_audit,no
VRB-STAGED-0082,EG-CLEAN-0112,regenerate_after_post_calculation_audit,no
VRB-STAGED-0083,EG-CLEAN-0048,regenerate_after_post_calculation_audit,no
VRB-STAGED-0084,EG-CLEAN-0057,regenerate_after_post_calculation_audit,no
VRB-STAGED-0085,EG-CLEAN-0079,regenerate_after_post_calculation_audit,no
VRB-STAGED-0086,EG-CLEAN-0060,regenerate_after_post_calculation_audit,no
VRB-STAGED-0088,EG-CLEAN-0108,regenerate_after_post_calculation_audit,no
VRB-STAGED-0089,EG-CLEAN-0061,regenerate_after_post_calculation_audit,no
VRB-STAGED-0090,EG-CLEAN-0034,regenerate_after_post_calculation_audit,no
VRB-STAGED-0091,EG-CLEAN-0002,regenerate_after_post_calculation_audit,no
VRB-STAGED-0092,O5EG-0004,regenerate_after_post_calculation_audit,no
VRB-STAGED-0094,EG-CLEAN-0109,regenerate_after_post_calculation_audit,no
VRB-STAGED-0095,O5EG-PAPER-0095,regenerate_after_post_calculation_audit,no
VRB-STAGED-0096,EG-CLEAN-0110,regenerate_after_post_calculation_audit,no
VRB-STAGED-0097,EG-CLEAN-0103,regenerate_after_post_calculation_audit,no
VRB-STAGED-0099,EG-CLEAN-0083,regenerate_after_post_calculation_audit,no
VRB-STAGED-0100,EG-CLEAN-0113,regenerate_after_post_calculation_audit,no
VRB-STAGED-0102,EG-CLEAN-0090,regenerate_after_post_calculation_audit,no
VRB-STAGED-0103,EG-CLEAN-0011,regenerate_after_post_calculation_audit,no
VRB-STAGED-0104,EG-CLEAN-0065,regenerate_after_post_calculation_audit,no
CIC-SRC-EXP-0003,EG-CLEAN-0105,regenerate_after_post_calculation_audit,no
CIC-SRC-EXP-0004,EG-CLEAN-0081,regenerate_after_post_calculation_audit,no
CIC-SRC-EXP-0005,EG-CLEAN-0074,regenerate_after_post_calculation_audit,no
