k,held_out_exposure_group_id,target_hs,training_n,prediction_hs,absolute_natural_log_error
15,O5EG-0015,400000,2,388235.294117647049,0.02985296315
16,EG-CLEAN-0025,200000,2,388888.888888888876,0.664976303593
16,EG-CLEAN-0118,25000,2,388888.888888888876,2.744417845273
16,O5EG-0015,400000,2,388888.888888888876,0.028170876967
17,EG-CLEAN-0025,200000,2,389473.684210526291,0.666478933478
17,EG-CLEAN-0118,25000,2,389473.684210526291,2.745920475158
17,O5EG-0015,400000,2,389473.684210526291,0.026668247082
18,EG-CLEAN-0025,200000,2,390000,0.667829372576
18,EG-CLEAN-0118,25000,2,390000,2.747270914255
18,O5EG-0015,400000,2,390000,0.025317807984
19,EG-CLEAN-0025,200000,2,390476.190476190473,0.669049628981
19,EG-CLEAN-0118,25000,2,390476.190476190473,2.748491170661
19,O5EG-0015,400000,2,390476.190476190473,0.024097551579
20,EG-CLEAN-0025,200000,2,390909.090909090883,0.670157662335
20,EG-CLEAN-0118,25000,2,390909.090909090883,2.749599204015
20,O5EG-0015,400000,2,390909.090909090883,0.022989518225
21,EG-CLEAN-0025,200000,2,391304.347826086974,0.671168273841
21,EG-CLEAN-0118,25000,2,391304.347826086974,2.750609815521
21,O5EG-0015,400000,2,391304.347826086974,0.021978906719
22,EG-CLEAN-0025,200000,2,391666.666666666686,0.672093771362
22,EG-CLEAN-0118,25000,2,391666.666666666686,2.751535313042
22,O5EG-0015,400000,2,391666.666666666686,0.021053409198
23,EG-CLEAN-0025,200000,2,392000,0.672944473242
23,EG-CLEAN-0118,25000,2,392000,2.752386014922
23,O5EG-0015,400000,2,392000,0.020202707318
24,EG-CLEAN-0025,200000,2,392307.692307692312,0.673729094703
24,EG-CLEAN-0118,25000,2,392307.692307692312,2.753170636383
24,O5EG-0015,400000,2,392307.692307692312,0.019418085857
25,EG-CLEAN-0025,200000,2,392592.592592592584,0.674455047548
25,EG-CLEAN-0118,25000,2,392592.592592592584,2.753896589228
25,O5EG-0015,400000,2,392592.592592592584,0.018692133012
26,EG-CLEAN-0025,200000,2,392857.142857142841,0.675128675057
26,EG-CLEAN-0118,25000,2,392857.142857142841,2.754570216737
26,O5EG-0015,400000,2,392857.142857142841,0.018018505503
27,EG-CLEAN-0025,200000,2,393103.448275862087,0.675755437848
27,EG-CLEAN-0118,25000,2,393103.448275862087,2.755196979528
27,O5EG-0015,400000,2,393103.448275862087,0.017391742712
28,EG-CLEAN-0025,200000,2,393333.333333333314,0.676340062244
28,EG-CLEAN-0118,25000,2,393333.333333333314,2.755781603923
28,O5EG-0015,400000,2,393333.333333333314,0.016807118316
29,EG-CLEAN-0025,200000,2,393548.387096774182,0.676886659688
29,EG-CLEAN-0118,25000,2,393548.387096774182,2.756328201368
29,O5EG-0015,400000,2,393548.387096774182,0.016260520872
30,EG-CLEAN-0025,200000,2,393750,0.677398823592
30,EG-CLEAN-0118,25000,2,393750,2.756840365272
30,O5EG-0015,400000,2,393750,0.015748356968
31,EG-CLEAN-0025,200000,2,393939.393939393922,0.677879708429
31,EG-CLEAN-0118,25000,2,393939.393939393922,2.757321250109
31,O5EG-0015,400000,2,393939.393939393922,0.015267472131
32,EG-CLEAN-0025,200000,2,394117.647058823553,0.678332094775
32,EG-CLEAN-0118,25000,2,394117.647058823553,2.757773636455
32,O5EG-0015,400000,2,394117.647058823553,0.014815085785
33,EG-CLEAN-0025,200000,2,394285.714285714261,0.678758443108
