variant_name,metric,metric_rank,node_id,canonical_name,actor_type,value,centrality_rank,direct_record_count,third_party_record_count
combined_transaction_graph,component_size,9,actor_pompey,Pompey,individual,119.000000,9,3,1
combined_transaction_graph,component_size,10,actor_p_cornelius,P. Cornelius,individual,119.000000,10,1,0
combined_transaction_graph,component_size,11,actor_egnatius,Egnatius,individual,119.000000,11,1,1
combined_transaction_graph,component_size,12,actor_p_valerius,P. Valerius,individual,119.000000,12,1,0
combined_transaction_graph,component_size,13,actor_caerellia,Caerellia,individual,119.000000,13,2,0
combined_transaction_graph,component_size,14,actor_young_t_pinnius,young T. Pinnius,individual,119.000000,14,1,0
combined_transaction_graph,component_size,15,actor_iunius,Iunius,individual,119.000000,15,1,0
combined_transaction_graph,component_size,16,actor_l_lucceius,L. Lucceius,individual,119.000000,16,1,0
combined_transaction_graph,component_size,17,actor_publicani,publicani,collective_group,119.000000,17,1,0
combined_transaction_graph,component_size,18,actor_amici,amici,collective_group,119.000000,18,2,0
combined_transaction_graph,component_size,19,actor_a_caninius_satyrus,A. Caninius Satyrus,individual,119.000000,19,1,0
combined_transaction_graph,component_size,20,actor_p_varius,P. Varius,individual,119.000000,20,1,0
